Mario,0000000000000002
Peach,0002000000010002
Yoshi,0003000000020002
Donkey Kong,0008000000030002
Link,0100000000040002
Fox,0580000000050002
Samus,05C0000000060002
Wii Fit Trainer,0700000000070002
Villager,0180000000080002
Pikachu,1919000000090002
Kirby,1F000000000A0002
Marth,21000000000B0002
Zelda,01010000000E0002
Diddy Kong,00090000000D0002
Luigi,00010000000C0002
Little Mac,06C00000000F0002
Pit,0740000000100002
Captain Falcon,0600000000120002
Rosalina & Luma,0004010000130002
Bowser,0005000000140002
Lucario,1AC0000000110002
Toon Link,0100010000160002
Sheik,0101010000170002
Ike,2101000000180002
Shulk,22400000002B0002
Sonic,3200000000300002
Mega Man,3480000000310002
King Dedede,1F02000000280002
Meta Knight,1F01000000270002
Robin,21030000002A0002
Lucina,2102000000290002
Wario,00070000001A0002
@Charizard,1906000000240002
Ness,22800000002C0002
Pac-Man,3340000000320002
Greninja,1B92000000250002
Jigglypuff,1927000000260002
Palutena,07420000001F0002
Dark Pit,0741000000200002
Zero Suit Samus,05C00100001D0002
Ganondorf,01020100001B0002
Dr Mario,0000010000190002
Bowser Jr,0006000000150002
Olimar,06400100001E0002
Mr Game & Watch,07800000002D0002
ROB,0781000000330002
Duck Hunt,07820000002F0002
@Mii Brawler,07C0000000210002
@Mii Swordfighter,07C0010000220002
@Mii Gunner,07C0020000230002
Mewtwo,19960000023D0002
Falco,05810000001C0002
Lucas,2281000002510002
Roy,2104000002520002
Ryu,34C0000002530002
Cloud,3600000002590002
Corrin,21050000025A0002
Bayonetta,32400000025B0002
Inkling,0800010003820002
Ridley,05C20000037F0002
Wolf,05840000037E0002
King K Rool,00C00000037B0002
Ice Climbers,078F000003810002
Piranha Plant,00240000038D0002
Daisy,00130000037A0002
Isabelle,01810000037D0002
Pichu,19AC000003850002
Ken,34C1000003890002
Young Link,01000000037C0002
Pokemon Trainer,1D40000003870002
Snake,37800000038A0002
Ivysaur,1902000003830002
Squirtle,1907000003840002
Simon,37C00000038B0002
Incineroar,1BD7000003860002
Chrom,2108000003880002
Dark Samus,05C3000003800002
Richter,37C10000038C0002
Joker,3A00000003A10002
Hero,3640000003A20002
Banjo,3B40000003A30002
Terry,3C80000003A40002
Byleth,210B000003A50002
